id,uuid,timestamp,date,coverurl,url,comment,duration,title,bonus,artist,show,videourl
572,1efc70f7-ae68-4b18-953f-64c65f27f275,1590672298960,28th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200528_1000_Recording.mp3,"The unspoken etiquette of the online gamer, Ms. Dynamite, and getting stabbed in the arse at a rave. \nNothing but serious issues on this show.\n\nTracklist:\n\nKahn - Abattoir \nMenta - Ramp feat. Ms. Dynamite\nAmerigo Gazaway - Chromeo x War feat. Marvin Gaye & T.I. - Tenderoni (Lowrider Cruisin' Mix) ",59:53:00,#060 - Don't Chew With Your Mic On,FALSE,Jimmy Budd,The Jimmy Budd Experience,
573,1efc70f7-ae68-4b18-953f-64c65f27f275,1590876824343,29th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200529_1000_Recording.mp3,"Mushroom walks, Minnesota talks and some tasty Total Science. If you don't acknowledge dogs, you're a nonce.\n\nTracklist:\n\nVocoda - A Bit Cheeky (Bonus Hardcore)\nTotal Science & Break - Big Time Winners\nTotal Science - Walk The Same Lines feat. Riya (Calibre Remix)",59:52:00,#061 - Duck The Police,FALSE,Jimmy Budd,The Jimmy Budd Experience,
574,1efc70f7-ae68-4b18-953f-64c65f27f275,1591009131842,1st Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200601_1000_Recording.mp3,I shouldn't have to say any of this.\n\nTracklist:\n\nDigible Planets - 9th Wonder (Blackitolism)\nSoundmurderer & SK-1 - Call Da Police,59:39:00,#062 - We Are All One,FALSE,Jimmy Budd,The Jimmy Budd Experience,
575,1efc70f7-ae68-4b18-953f-64c65f27f275,1591179681027,3rd June 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200603_1000_Recording.mp3,"We took 24 hours off. It wasn't to be silent, it was to prepare for what comes next.\n\nTracklist:\n\nSilkie - Poltergeist\nMala - Cuba Electronic",59:13:00,"#063 - Duck Twelve, Duck Twelve",FALSE,Jimmy Budd,The Jimmy Budd Experience,
576,1efc70f7-ae68-4b18-953f-64c65f27f275,1591275191612,4th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200604_1000_Recording.mp3,"Tekashi 69 gets the Tropic Thunder treatment, the Julia Roberts/Sandra Bullock template, and Boston Dynamics' Mark Zuckerberg.\n\nTracklist:\n\nSmiley Maxx - Fuckin Dark\nThe XX - Fiction (Pearson Sound Remix)\nKode9 - Uh",58:59:00,#064 - Evander Holyfield's UV Pot Noodle,FALSE,Jimmy Budd,The Jimmy Budd Experience,
577,1efc70f7-ae68-4b18-953f-64c65f27f275,1591352289065,5th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200605_1001_Recording.mp3,"Fighting oppression, one EDM banger at a time.\n\nTracklist:\n\nUntold - Stop What You're Doing (James Blake Remix)\nHamsta - Hey If You Wanna\nWamjam - Soundbwoy Killa\nMokit - I'm All Outta Donk",58:51:00,#065  - David Guetta Ends Racism,FALSE,Jimmy Budd,The Jimmy Budd Experience,
578,1efc70f7-ae68-4b18-953f-64c65f27f275,1591698578155,9th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200609_1000_Recording_2.mp3,A statue in Bristol. Camp Coffee. A 200bpm version of D:ream's Things Can Only Get Better. Tackling the serious issues of the day.\n\nTracklist:\n\nHarmony - Love Me\nVenz - Only Get Better\nT5UMUT5UMU - L4 MOREN4,59:46:00,#066 - Bandcamp Coffee,FALSE,Jimmy Budd,The Jimmy Budd Experience,
579,1efc70f7-ae68-4b18-953f-64c65f27f275,1591799261974,10th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200610_1000_Recording.mp3,"Hospital Records are in the shit, Chernobyl's been on fire (and nobody told us), and pocket burgers.\n\nTracklist:\n\nHarmony - Just A Game\nSunshine Vendetta - Fantasy\n",59:49:00,#067 - Pocket Burger,FALSE,Jimmy Budd,The Jimmy Budd Experience,
580,1efc70f7-ae68-4b18-953f-64c65f27f275,1591820549801,10th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200610_1900_Recording.mp3,"Two stoned northerners, putting the world to rights. Strap in.\n\n(Check out Rahul's Comic Sanskrit show on the BBC website)\n\nInstagram/Twitter: @RaulKohliComic\nYoutube: Raul Kohli",02:07:08,#068 - Battered Patter (feat. Raul Kohli),FALSE,Jimmy Budd,The Jimmy Budd Experience,
581,1efc70f7-ae68-4b18-953f-64c65f27f275,1591975738933,12th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200612_1000_Recording.mp3,"It's the 69th episode of JBE (ayy lmao), and it's about time I introduced you to the most prolific man in hip-hop. Plus, the secret of the double sauce, double cheese, and new Freddie Gibbs bits. Wey aye.\n\nTracklist:\n\nFreddie Gibbs & The Alchemist - 1985 \nViper - You'll Cowards Don't Even Smoke Crack\nFreddie Gibbs & The Alchemist - Frank Lucas (feat. Benny The Butcher)",01:01:16,#069 - You'll Cowards Don't Even Smoke Quack,FALSE,Jimmy Budd,The Jimmy Budd Experience,
